timestamp,usercount,instancecount,tootscount
1534024800,1400560,1675,158851077
1534028400,1400635,1675,158851077
1534032000,1400734,1675,158851077
1534035600,1400818,1655,158851077
1534039200,1400912,1655,158851077
1534042800,1401006,1635,158851077
1534046400,1401080,1635,158851077
1534050000,1401154,1635,158851077
1534053600,1401222,1635,158851077
1534057200,1401296,1635,158851077
1534060800,1401364,1635,158851077
1534064400,1401434,1635,158851077
1534068002,1401521,1648,158851077
1534071602,1401587,1654,158851077
1534075201,1401645,1632,158851077
1534078801,1401706,1650,158851077
1534082401,1401796,1630,158851077
1534086001,1401865,1631,158851077
1534089601,1401977,1634,158851077
1534093202,1402069,1630,158851077
1534096801,1402168,1653,158851077
1534100401,1402232,1648,158851077
1534104001,1402276,1648,158851077
1534107601,1402340,1650,158851077
1534111201,1402403,1654,158851077
1534114801,1402460,1650,158851077
1534118401,1402517,1656,158851077
1534122001,1402626,1663,158851077
1534125601,1402694,1718,158851077
1534129202,1402763,1762,158851077
1534132801,1402823,1774,158851077
1534136401,1402891,1782,158851077
1534140001,1402964,1767,158851077
1534143602,1403017,1775,158851077
1534147202,1403076,1712,158851077
1534150802,1403175,1755,158851077
1534154401,1403281,1731,158851077
1534158001,1403349,1786,158851077
1534161602,1403421,1727,158851077
1534165201,1403515,1751,158851077
1534168802,1403652,1762,158851077
1534172402,1403768,1750,158851077
1534176001,1403905,1727,158851077
1534179602,1404004,1734,158851077
1534183201,1404098,1761,158851077
1534186802,1404200,1752,158851077
1534190402,1404297,1764,158851077
1534194002,1404368,1752,158851077
1534197601,1404466,1770,158851077
1534201202,1404542,1759,158851077
1534204802,1404616,1734,158851077
1534208402,1404656,1760,158851077
1534212001,1404722,1776,158851077
1534215601,1404794,1768,158851077
1534219201,1404897,1754,158851077
1534222801,1404968,1742,158851077
1534226401,1405066,1766,158851077
1534230002,1405166,1759,158851077
1534233602,1405243,1718,158851077
1534237201,1405322,1742,158851077
1534240802,1405379,1763,158851077
1534244401,1405445,1767,158851077
1534248002,1405481,1752,158851077
1534251602,1405572,1728,158851077
1534255201,1405694,1746,158851077
1534258802,1405835,1715,158851077
1534262402,1405989,1739,158851077
1534266001,1406122,1753,158851077
1534269601,1406244,1763,158851077
1534273201,1406375,1780,158851077
1534276802,1406493,1746,158851077
1534280401,1406618,1763,158851077
1534284001,1406704,1790,158851077
1534287601,1406808,1781,158851077
1534291202,1406876,1727,158851077
1534294801,1406976,1768,158851077
1534298401,1407108,1751,158851077
1534302001,1407234,1714,158851077
1534305601,1407424,1738,158851077
1534309201,1407619,1747,158851077
1534312801,1407813,1753,158851077
1534316401,1408038,1760,158851077
1534320002,1408211,1779,158851077
1534323601,1408367,1733,158851077
1534327201,1408503,1751,158851077
1534330801,1408689,1694,158851077
1534334402,1408876,1747,158851077
1534338001,1409120,1764,158851077
1534341601,1409382,1733,158851077
1534345201,1409774,1758,158851077
1534348801,1410190,1768,158851077
1534352402,1410517,1737,158851077
1534356001,1410782,1749,158851077
1534359602,1411060,1761,158851077
1534363201,1411314,1740,158851077
1534366802,1411631,1753,158851077
1534370401,1411902,1757,158851077
1534374001,1412249,1752,158851077
1534377601,1412704,1733,158851077
1534381201,1413348,1759,158851077
1534384801,1414146,1750,158851077
1534388401,1415026,1749,158851077
1534392001,1415979,1745,158851077
1534395601,1417076,1730,158851077
1534399201,1418082,1771,158851077
1534402801,1419192,1722,158851077
1534406402,1420385,1772,158851077
1534410002,1421341,1784,158851077
1534413601,1422413,1738,158851077
1534417202,1423566,1761,158851077
1534420801,1424695,1765,158851077
1534424401,1425879,1778,158851077
1534428001,1427224,1780,158851077
1534431602,1428463,1774,158851077
1534435201,1429479,1782,158851077
1534438802,1430443,1733,158851077
1534442402,1431350,1781,158851077
1534446002,1432283,1776,158851077
1534449602,1433084,1780,158851077
1534453201,1433711,1776,158851077
1534456802,1434279,1778,158851077
1534460401,1434992,1780,158851077
1534464001,1435869,1781,158851077
1534467601,1437117,1781,158851077
1534471201,1438356,1754,158851077
1534474801,1439349,1650,158851077
1534478401,1440287,1649,158851077
1534482001,1441217,1651,158851077
1534485601,1442021,1645,158851077
1534489201,1442820,1648,158851077
1534492802,1443622,1642,158851077
1534496401,1452452,1877,158851077
1534500001,1456596,1874,158851077
1534503601,1457322,1873,158851077
1534507202,1458141,1869,158851077
1534510801,1459175,1873,158851077
1534514401,1460275,1846,158851077
1534518002,1461401,1867,158851077
1534521602,1462412,1870,158851077
1534525202,1462765,1870,158851077
1534528801,1463456,1870,158851077
1534532401,1464083,1874,158851077
1534536002,1464608,1873,158851077
1534539602,1465043,1868,158851077
1534543201,1465503,1877,158851077
1534546801,1465942,1872,158851077
1534550401,1466354,1865,158851077
1534554002,1466581,1865,158851077
1534557601,1466961,1872,158851077
1534561201,1467292,1872,158851077
1534564801,1467587,1874,158851077
1534568402,1467890,1866,158851077
1534572001,1468274,1868,158851077
1534575601,1468568,1873,158851077
1534579202,1468859,1877,158851077
1534582801,1469214,1873,158851077
1534586402,1469605,1877,158851077
1534590001,1469982,1874,158851077
1534593601,1470442,1873,158851077
1534597201,1470917,1875,158851077
1534600802,1471422,1873,158851077
1534604401,1472043,1871,158851077
1534608002,1472692,1878,158851077
1534611601,1473379,1881,158851077
1534615201,1473943,1880,158851077
1534618801,1474440,1881,158851077
1534622401,1475006,1955,158851077
1534626002,1475466,1952,158851077
1534629601,1475879,1954,158870368
1534633201,1476198,1951,158888209
1534636801,1476497,1954,158913433
1534640401,1476755,1954,158939245
1534644001,1476772,1955,158966728
1534647602,1477044,1947,158991851
1534651201,1477281,1953,159019349
1534654802,1477556,1954,159046524
1534658401,1477820,1958,159069465
1534662002,1478041,1957,159096574
1534665601,1478249,1956,159111331
1534669201,1478406,1919,159133629
1534672801,1478659,1961,159160563
1534676401,1478880,1957,159171389
1534680001,1479049,1956,159198082
1534683602,1479389,1947,159234514
1534687201,1479780,1955,159268640
1534690802,1480207,1955,159310369
1534694402,1480649,1953,159300765
1534698002,1481168,1955,159333703
1534701601,1481671,1954,159357331
1534705202,1482006,1952,159375704
1534708801,1482350,1948,159386977
1534712401,1482743,1952,159405008
1534716001,1483084,1948,159425783
1534719602,1483382,1952,159435099
1534723201,1483277,1945,159263342
1534726801,1483499,1942,159293226
1534730401,1483731,1941,159310569
1534734001,1483729,1945,159328072
1534737601,1484029,1944,159353105
1534741201,1484290,1942,159376735
1534744801,1484520,1946,159395031
1534748401,1484759,1948,159416170
1534752001,1484837,1944,159410499
1534755602,1485668,1945,159541465
1534759201,1485917,1951,159564157
1534762801,1486154,1946,159591379
1534766401,1486451,1951,159622933
1534770001,1486705,1950,159656433
1534773601,1487074,1950,159691745
1534777201,1487379,1954,159730066
1534780801,1487717,1952,159765377
1534784402,1487988,1952,159790787
1534788002,1488376,1953,159816556
1534791602,1488799,1944,159838529
1534795202,1489354,1948,159858770
1534798801,1489842,1949,159873607
1534802402,1490276,1950,159894800
1534806001,1490697,1943,159916158
1534809601,1490966,1946,159936370
1534813201,1491259,1943,159956226
1534816801,1491425,1949,159974293
1534820402,1491728,1949,159994940
1534824001,1491991,1944,160019286
1534827602,1492216,1945,160039215
1534831201,1492430,1943,160053399
1534834802,1492638,1940,160070391
1534838401,1492821,1945,160086765
1534842002,1493022,1940,160105384
1534845601,1493080,1936,160116853
1534849201,1493311,1933,160142514
1534852802,1493546,1928,160167516
1534856401,1493817,1931,160196965
1534860002,1494074,1929,160231333
1534863601,1494240,1929,160265516
1534867202,1494532,1925,160299819
1534870802,1494693,1925,160325818
1534874401,1494810,1926,160340254
1534878002,1495075,1927,160360132
1534881602,1495252,1929,160377826
1534885202,1495482,1930,160317132
1534888802,1495643,1932,160330432
1534892402,1495805,1925,160349175
1534896001,1495938,1930,160370741
1534899601,1495974,1929,160390929
1534903201,1496107,1925,160408612
1534906801,1496222,1923,160427763
1534910401,1496347,1923,160451726
1534914001,1496319,1923,160459380
1534917601,1496451,1923,160474967
1534921202,1496560,1925,160491706
1534924801,1496601,1929,160503932
1534928401,1496701,1927,160521639
1534932001,1496751,1924,160542825
1534935601,1496887,1920,160568333
1534939201,1497063,1921,160596471
1534942801,1497351,1922,160625817
1534946401,1497783,1917,160654357
1534950002,1498290,1921,160682378
1534953601,1498745,1922,160703199
